Time,Sentiment
1216568,0.063
1216569,0.108888
1216570,0.109437
1216571,0.081936
1216572,0.070028
1216573,0.108285
1216574,0.08327
1216575,0.11769
1216576,0.104258
1216577,0.084358
1216578,0.044892
1216579,0.086474
1216580,0.080961
1216581,0.091181
1216582,0.074348
1216583,0.081024
1216584,0.105385
1216585,0.054718
1216586,0.049336
1216587,0.10961
1216588,0.229996
1216589,0.292905
1216590,0.294571
1216591,0.261295
1216592,0.214414
1216593,0.19821
1216594,0.130977
1216595,0.231195
1216596,0.221041
1216597,0.181869
1216598,0.179485
1216599,0.200377
1216600,0.192664
1216601,0.186059
1216602,0.176756
1216603,0.153892
1216604,0.158209
1216605,0.129543
1216606,0.149577
1216607,0.12268
1216608,0.139565
1216609,0.165384
1216610,0.151073
1216611,0.101519
1216612,0.125123
1216613,0.140662
1216614,0.150183
1216615,0.1676
1216616,0.175311
1216617,0.151154
1216618,0.10017
1216619,0.120648
1216620,0.073475
1216621,0.114408
1216622,0.100676
1216623,0.137158
1216624,0.126899
1216625,0.119016
1216626,0.089159
1216627,0.060995
1216628,0.084951
1216629,0.07247
1216630,0.140393
1216631,0.072356
1216632,0.09574
1216633,0.103194
1216634,0.092673
1216635,0.080575
1216636,0.0623
1216637,0.065451
1216638,0.041689
1216639,0.10735
1216640,0.10934
1216641,0.088962
1216642,0.077943
1216643,0.065854
1216644,0.066664
1216645,0.072109
1216646,0.066895
1216647,0.090973
1216648,0.101379
1216649,0.052244
1216650,0.043237
1216651,0.05385
1216652,0.032477
1216653,0.044109
1216654,0.044355
1216655,0.03242
1216656,0.070036
1216657,0.024252
1216658,0.039768
1216659,0.051404
1216660,0.018878
1216661,-0.018727
1216662,-0.019129
1216663,-0.004428
1216664,0.007957
1216665,0.023913
1216666,0.019194
1216667,0.020575
1216668,0.016868
1216669,0.0034
1216670,0.027541
1216671,0.044272
1216672,0.024531
1216673,0.030906
1216674,0.01239
1216675,0.003313
1216676,0.049687
1216677,0.043678
1216678,0.04685
1216679,0.032943
1216680,0.057894
1216681,0.011335
1216682,-0.012688
1216683,0.029593
1216684,0.050465
1216685,0.072922
1216686,0.024846
