Time,Sentiment
1216568,0.013225
1216569,-0.018358
1216570,0.02907
1216571,0.031441
1216572,0.015608
1216573,0.036615
1216574,0.006882
1216575,-0.021907
1216576,-0.04646
1216577,-0.006041
1216578,-0.020506
1216579,0.017279
1216580,-0.005078
1216581,-0.020839
1216582,-0.003633
1216583,0.030161
1216584,-0.003913
1216585,0.009035
1216586,0.040645
1216587,0.055515
1216588,0.283635
1216589,0.186994
1216590,0.138883
1216591,0.142335
1216592,0.088574
1216593,0.080209
1216594,0.126295
1216595,0.085391
1216596,0.115727
1216597,0.123329
1216598,0.109192
1216599,0.103245
1216600,0.090276
1216601,0.083469
1216602,0.248074
1216603,0.295371
1216604,0.223355
1216605,0.119782
1216606,0.092787
1216607,-0.139859
1216608,-0.055506
1216609,-0.062589
1216610,-0.017113
1216611,-0.022461
1216612,-0.018346
1216613,0.013449
1216614,-0.005021
1216615,-0.020643
1216616,-0.008231
1216617,-0.004294
1216618,0.047939
1216619,0.010906
1216620,0.092833
1216621,0.019824
1216622,0.006785
1216623,0.018455
1216624,0.036341
1216625,-0.027102
1216626,0.018861
1216627,-0.003874
1216628,-0.028032
1216629,0.01597
1216630,-0.013587
1216631,-0.013019
1216632,0.014241
1216633,-0.029923
1216634,0.020911
1216635,-0.000872
1216636,0.042075
1216637,0.044897
1216638,0.034147
1216639,0.006968
1216640,0.02318
1216641,-0.007126
1216642,0.004121
1216643,-0.004074
1216644,-0.030888
1216645,-0.012147
1216646,-0.015868
1216647,0.011908
1216648,-0.03189
1216649,-0.019679
1216650,0.044379
1216651,-0.033974
1216652,-0.052528
1216653,0.016578
1216654,0.007855
1216655,0.000277
1216656,-0.003904
1216657,0.015896
1216658,-0.024727
1216659,-0.002182
1216660,-0.024859
1216661,-0.009403
1216662,-0.014748
1216663,-0.020855
1216664,-0.034988
1216665,0.00535
1216666,-0.004564
1216667,0.028285
1216668,-0.01863
1216669,-0.007028
1216670,0.017268
1216671,0.009957
1216672,-0.018932
1216673,-0.00608
1216674,0.001539
1216675,-0.015817
1216676,-0.025534
1216677,-0.003727
1216678,0.093441
1216679,0.099551
1216680,0.020125
1216681,0.03801
1216682,0.041499
1216683,0.016771
1216684,0.044585
1216685,0.000178
1216686,0.009133
1216687,0.006653
1216688,-0.045006
1216689,-0.013115
1216690,0.013029
1216691,0.013872
1216692,0.043552
1216693,0.008544
1216694,0.018414
1216695,0.017026
1216696,0.00671
1216697,-0.008412
1216698,-0.010365
1216699,0.006087
1216700,0.030952
1216701,0.023414
1216702,0.007023
1216703,-0.014665
1216704,-0.004433
1216705,-0.003034
1216706,-0.017289
1216707,-0.006435
1216708,-0.015273
1216709,-0.010284
1216710,-0.000704
1216711,-0.017868
1216712,-0.020788
1216713,0.004346
1216714,-0.02683
1216715,0.010782
1216716,-0.003384
1216717,0.013336
1216718,-0.005087
1216719,-0.02194
1216720,-0.00918
1216721,0.014384
1216722,0.002704
1216723,-0.008375
1216724,-0.001667
1216725,-0.013149
1216726,0.002365
1216727,0.022781
1216728,-0.007374
1216729,-0.00815
1216730,-0.020235
1216731,0.018028
1216732,0.027049
1216733,0.024529
1216734,-0.010508
1216735,0.015963
1216736,0.016507
1216737,0.002817
1216738,-0.010027
1216739,0.02059
1216740,0.004526
1216741,-0.002746
1216742,-0.007538
1216743,0.02085
1216744,-0.003405
1216745,-0.043048
1216746,-0.012206
1216747,0.016466
1216748,0.018358
1216749,0.003834
1216750,0.009238
1216751,0.025855
1216752,-0.005795
1216753,0.012012
1216754,-0.029688
1216755,0.00492
1216756,0.047239
1216757,0.022194
1216758,-0.042419
1216759,-0.014331
1216760,0.00366
1216761,-0.014631
1216762,-0.039781
1216763,-0.092149
1216764,-0.038124
1216765,-0.033239
1216766,-0.040961
1216767,-0.056316
1216768,-0.014303
1216769,0.00619
1216770,-0.041431
1216771,-0.041811
1216772,-0.037354
1216773,-0.026423
1216774,-0.044392
1216775,-0.049704
1216776,-0.023186
1216777,-0.027131
1216778,-0.037376
1216779,-0.035882
1216780,-0.01276
1216781,-0.006322
1216782,-0.020931
1216783,-0.029834
1216784,-0.016928
1216785,0.008044
1216786,-0.00995
1216787,0.01831
1216788,0.005681
1216789,0.033911
1216790,0.032888
1216791,0.037287
1216792,0.000805
1216793,0.024838
1216794,0.056223
1216795,0.036886
1216796,0.010826
1216797,0.019551
1216798,0.024836
1216799,0.036976
1216800,0.050509
1216801,0.050167
1216802,0.041027
1216803,0.046109
1216804,0.076718
1216805,0.056256
1216806,0.066605
1216807,0.024475
1216808,0.019324
1216809,0.011621
1216810,0.02321
1216811,0.000524
1216812,-0.024006
1216813,-0.015938
1216814,0.026726
1216815,-0.023967
1216816,0.041251
1216817,0.022612
1216818,0.016401
1216819,-0.010391
1216820,-0.00679
1216821,0.003004
1216822,-0.011172
1216823,0.053579
1216824,0.335986
1216825,0.051284
1216826,0.027721
1216827,-0.080396
1216828,-0.032434
1216829,-0.050563
1216830,-0.02022
1216831,-0.016765
1216832,-0.082479
1216833,-0.058599
1216834,-0.029016
1216835,0.002872
1216836,0.031153
1216837,0.04216
1216838,0.028786
1216839,0.016033
1216840,0.002451
1216841,0.030676
1216842,-0.028549
1216843,0.015142
1216844,0.013506
1216845,0.056778
1216846,0.064648
1216847,0.055214
1216848,0.050031
1216849,0.074563
1216850,0.040354
1216851,0.011057
1216852,0.051245
1216853,0.023409
1216854,0.032856
1216855,-0.019626
1216856,-0.016265
1216857,-0.016637
1216858,0.004843
1216859,-0.001251
1216860,-0.010897
1216861,-0.014127
1216862,0.004991
1216863,0.012151
1216864,-0.011593
1216865,0.023827
1216866,0.021711
1216867,-0.022897
1216868,0.009789
1216869,-0.008775
1216870,-0.009201
1216871,-0.003201
1216872,0.044601
1216873,0.085751
1216874,0.029721
1216875,0.085388
1216876,0.02563
1216877,0.033721
1216878,0.071522
1216879,0.093307
1216880,0.107128
1217756,0.029146
1217757,-0.001361
1217758,-0.02726
1217759,0.031515
1217760,-0.029533
1217761,0.037049
1217762,-0.085675
1217763,0.008867
1217764,0.017062
1217765,0.060906
1217766,0.004163
1217767,-0.001998
1217768,-0.002031
1217769,0.030014
1217770,0.020434
1217771,-0.023391
1217772,-0.004179
1217773,0.046324
1217774,0.034794
1217775,0.026566
1217776,0.002332
1217777,-0.004231
1217778,-0.044428
1217779,-0.055248
1217780,-0.081252
1217781,-0.035005
1217782,-0.019306
1217783,-0.018255
1217784,-0.032572
1217785,-0.010951
1217786,-0.010097
1217787,-0.020822
1217788,0.02819
1217789,-0.001222
1217790,-0.008406
1217791,0.00567
1217792,-0.045452
