Time,Sentiment
1216568,0.042158
1216569,0.046434
1216570,0.022921
1216571,0.054393
1216572,0.057013
1216573,0.036215
1216574,0.039586
1216575,0.047451
1216576,0.029294
1216577,0.033723
1216578,0.055561
1216579,0.038376
1216580,0.07685
1216581,0.082176
1216582,0.066287
1216583,0.064914
1216584,0.04734
1216585,0.078325
1216586,0.0971
1216587,0.074205
1216588,0.059747
1216589,0.07946
1216590,0.057208
1216591,0.022356
1216592,-0.008651
1216593,-0.055646
1216594,-0.042449
1216595,-0.008965
1216596,-0.004563
1216597,-0.001935
1216598,0.013768
1216599,0.039877
1216600,-0.014021
1216601,0.007497
1216602,0.011057
1216603,-0.034662
1216604,0.019491
1216605,0.020813
1216606,-0.01114
1216607,0.005397
1216608,0.017809
1216609,0.02216
1216610,-0.008911
1216611,0.003497
1216612,-0.008557
1216613,-0.023299
1216614,-0.053351
1216615,0.022034
1216616,-0.01028
1216617,0.015917
1216618,0.004082
1216619,0.026165
1216620,0.005685
1216621,0.020629
1216622,0.03097
1216623,0.03104
1216624,0.004862
1216625,0.026558
1216626,0.022213
1216627,0.041031
1216628,0.015885
1216629,0.011711
1216630,-0.00036
1216631,0.067493
1216632,0.036412
1216633,0.02828
1216634,0.038678
1216635,0.036212
1216636,0.032244
1216637,0.024525
1216638,0.060756
1216639,0.069815
1216640,0.038102
1216641,0.01092
1216642,0.046919
1216643,0.035594
1216644,0.025259
1216645,0.033052
1216646,0.015906
1216647,0.030059
1216648,0.008503
1216649,0.022144
1216650,0.044458
1216651,0.10151
1216652,0.122299
1216653,0.085849
1216654,0.096827
1216655,0.078441
1216656,0.064379
1216657,0.057309
1216658,0.06028
1216659,0.063478
1216660,0.024232
1216661,0.039849
1216662,0.064561
1216663,0.071816
1216664,0.095972
1216665,0.104335
1216666,0.070428
1216667,0.075331
1216668,0.062979
1216669,0.026302
1216670,0.042449
1216671,0.052697
1216672,0.046876
1216673,0.041801
1216674,0.049282
1216675,0.03743
1216676,0.013653
1216677,0.055992
1216678,0.043523
1216679,0.016011
1216680,0.07026
1216681,0.045096
1216682,0.128964
1216683,0.061428
1216684,0.005986
1216685,0.050317
1216686,0.025766
1216687,0.044029
1216688,0.062265
1216689,0.047062
1216690,0.080436
1216691,0.080808
1216692,0.062167
1216693,0.05874
1216694,0.055961
1216695,0.077433
1216696,0.049772
1216697,0.050489
1216698,0.035764
1216699,0.032359
1216700,0.041368
1216701,0.048453
1216702,0.028591
1216703,0.078172
1216704,0.035903
1216705,0.019885
1216706,0.042758
1216707,0.02532
1216708,0.046728
1216709,0.027161
1216710,0.064477
1216711,0.005417
1216712,0.045214
1216713,0.020277
1216714,0.103001
1216715,0.054928
1216716,0.04956
1216717,0.058316
1216718,-0.067213
1216719,0.025415
1216720,0.023967
1216721,0.054082
1216722,0.057641
1216723,0.078576
1216724,0.068127
1216725,0.029415
1216726,0.002391
1216727,0.053221
